Unknown Mother
1000 Embryos
2 Loci
	!Typh04	!Typh16
Emb_292	233/201	255/247	
Emb_293	217/213	255/259	
Emb_294	233/888	255/247	
Emb_295	233/213	255/247	
Emb_296	217/237	255/247	
Emb_297	233/197	255/251	
Emb_298	233/237	255/259	
Emb_299	233/201	255/247	
Emb_300	217/888	255/259	
Emb_301	233/201	255/247	
Emb_302	233/201	255/247	
Emb_303	233/213	255/259	
Emb_304	217/201	255/259	
Emb_305	217/888	255/259	
Emb_306	233/201	255/247	
Emb_307	233/201	255/247	
Emb_308	217/213	255/259	
Emb_309	217/237	255/259	
Emb_310	233/237	255/259	
Emb_311	233/213	255/251	
Emb_312	217/213	255/247	
Emb_313	233/213	255/259	
Emb_314	217/213	255/259	
Emb_315	233/888	255/259	
Emb_316	233/201	255/247	
Emb_317	217/213	255/259	
Emb_318	233/213	255/259	
Emb_319	217/237	255/259	
Emb_320	217/197	255/259	
Emb_321	233/201	255/259	
Emb_322	217/213	255/259	
Emb_323	217/237	255/259	
Emb_324	217/213	255/247	
Emb_325	233/213	255/251	
Emb_326	217/888	255/247	
Emb_327	217/888	255/247	
Emb_328	217/213	255/251	
Emb_329	217/213	255/251	
Emb_330	217/213	255/259	
Emb_331	217/213	255/259	
Emb_332	217/201	255/259	
Emb_333	233/197	255/259	
Emb_334	233/201	255/247	
Emb_335	233/237	255/247	
Emb_336	233/213	255/259	
Emb_337	233/213	255/247	
Emb_338	217/213	255/259	
Emb_339	233/201	255/259	
Emb_340	217/197	255/259	
Emb_341	217/888	255/247	
Emb_342	233/213	255/259	
Emb_343	217/213	255/259	
Emb_344	217/213	255/251	
Emb_345	233/213	255/251	
Emb_346	217/201	255/247	
Emb_347	217/213	255/259	
Emb_348	233/888	255/247	
Emb_349	217/237	255/259	
Emb_350	217/197	255/259	
Emb_351	217/888	255/259	
Emb_352	233/888	255/259	
Emb_353	217/201	255/247	
Emb_354	233/888	255/247	
Emb_355	233/237	255/247	
Emb_356	233/213	255/259	
Emb_357	217/213	255/251	
Emb_358	217/213	255/259	
Emb_359	233/213	255/259	
Emb_360	217/213	255/251	
Emb_361	233/237	255/247	
Emb_362	217/888	255/259	
Emb_363	217/237	255/259	
Emb_364	233/213	255/251	
Emb_365	233/213	255/259	
Emb_366	233/213	255/251	
Emb_367	233/213	255/247	
Emb_368	233/213	255/259	
Emb_369	217/197	255/251	
Emb_370	217/213	255/259	
Emb_371	233/237	255/259	
Emb_372	233/201	255/259	
Emb_373	217/213	255/259	
Emb_374	217/213	255/259	
Emb_375	233/888	255/259	
Emb_376	233/201	255/259	
Emb_377	217/201	255/247	
Emb_378	217/197	255/259	
Emb_379	217/213	255/259	
Emb_380	217/237	255/259	
Emb_381	217/197	255/259	
Emb_382	217/237	255/247	
Emb_383	233/237	255/247	
Emb_384	233/888	255/247	
Emb_385	233/201	255/247	
Emb_386	233/201	255/259	
Emb_387	217/237	255/247	
Emb_388	217/237	255/247	
Emb_389	217/201	255/247	
Emb_390	233/237	255/259	
Emb_391	217/888	255/247	
Emb_392	217/201	255/247	
Emb_393	233/201	255/247	
Emb_394	217/197	255/259	
Emb_395	217/237	255/259	
Emb_396	217/201	255/247	
Emb_397	233/201	255/247	
Emb_398	233/213	255/259	
Emb_399	233/213	255/247	
Emb_400	217/213	255/259	
Emb_401	233/237	255/259	
Emb_402	217/237	255/247	
Emb_403	217/237	255/259	
Emb_404	217/201	255/247	
Emb_405	233/213	255/247	
Emb_406	217/197	255/259	
Emb_407	233/213	255/259	
Emb_408	233/213	255/259	
Emb_409	233/213	255/259	
Emb_410	233/888	255/259	
Emb_411	233/201	255/247	
Emb_412	233/888	255/259	
Emb_413	233/237	255/247	
Emb_414	217/197	255/259	
Emb_415	217/197	255/259	
Emb_416	217/197	255/251	
Emb_417	233/197	255/259	
Emb_418	233/213	255/247	
Emb_419	217/197	255/251	
Emb_420	217/213	255/259	
Emb_421	217/201	255/247	
Emb_422	217/888	255/247	
Emb_423	233/237	255/247	
Emb_424	233/213	255/259	
Emb_425	217/197	255/251	
Emb_426	233/197	255/259	
Emb_427	217/237	255/259	
Emb_428	217/237	255/247	
Emb_429	233/888	255/259	
Emb_430	233/213	255/251	
Emb_431	233/213	255/259	
Emb_432	233/213	255/259	
Emb_433	217/213	255/251	
Emb_434	217/213	255/251	
Emb_435	217/197	255/251	
Emb_436	233/888	255/259	
Emb_437	217/197	255/259	
Emb_438	233/197	255/259	
Emb_439	233/888	255/259	
Emb_440	217/237	255/259	
Emb_441	233/213	255/259	
Emb_442	217/197	255/259	
Emb_443	217/237	255/259	
Emb_444	233/201	255/259	
Emb_445	217/237	255/259	
Emb_446	217/197	255/251	
Emb_447	217/237	255/247	
Emb_448	217/888	255/247	
Emb_449	217/197	255/259	
Emb_450	233/213	255/259	
Emb_451	217/213	255/247	
Emb_452	217/197	255/259	
Emb_453	233/197	255/259	
Emb_454	233/237	255/247	
Emb_455	217/213	255/259	
Emb_456	217/213	255/251	
Emb_457	233/888	255/259	
Emb_458	217/213	255/251	
Emb_459	233/888	255/247	
Emb_460	217/213	255/251	
Emb_461	233/237	255/247	
Emb_462	217/201	255/259	
Emb_463	217/197	255/259	
Emb_464	217/213	255/259	
Emb_465	217/237	255/247	
Emb_466	233/888	255/247	
Emb_467	233/213	255/259	
Emb_468	217/213	255/259	
Emb_469	233/888	255/259	
Emb_470	233/197	255/251	
Emb_471	217/197	255/251	
Emb_472	233/213	255/251	
Emb_473	217/213	255/259	
Emb_474	217/888	255/259	
Emb_475	233/237	255/259	
Emb_476	233/197	255/259	
Emb_477	217/213	255/251	
Emb_478	233/237	255/247	
Emb_479	233/888	255/259	
Emb_480	233/197	255/251	
Emb_481	233/213	255/259	
Emb_482	217/213	255/259	
Emb_483	217/201	255/247	
Emb_484	217/213	255/259	
Emb_485	233/237	255/259	
Emb_486	233/213	255/259	
Emb_487	233/888	255/259	
Emb_488	233/197	255/259	
Emb_489	217/201	255/259	
Emb_490	217/237	255/247	
Emb_491	233/888	255/247	
Emb_492	233/201	255/247	
Emb_493	217/213	255/247	
Emb_494	217/237	255/259	
Emb_495	217/237	255/259	
Emb_496	217/197	255/259	
Emb_497	217/237	255/259	
Emb_498	217/201	255/247	
Emb_499	233/888	255/259	
Emb_500	233/197	255/251	
Emb_501	233/213	255/251	
Emb_502	217/213	255/251	
Emb_503	233/213	255/247	
Emb_504	233/237	255/247	
Emb_505	217/201	255/247	
Emb_506	217/237	255/247	
Emb_507	233/201	255/247	
Emb_508	217/237	255/247	
Emb_509	233/213	255/251	
Emb_510	217/888	255/247	
Emb_511	217/213	255/259	
Emb_512	233/213	255/251	
Emb_513	233/201	255/247	
Emb_514	233/213	255/259	
Emb_515	217/237	255/247	
Emb_516	217/213	255/259	
Emb_517	233/213	255/251	
Emb_518	217/213	255/251	
Emb_519	217/197	255/259	
Emb_520	233/888	255/259	
Emb_521	217/237	255/259	
Emb_522	233/213	255/259	
Emb_523	217/237	255/259	
Emb_524	233/201	255/259	
Emb_525	233/197	255/251	
Emb_526	217/888	255/259	
Emb_527	233/237	255/247	
Emb_528	217/213	255/259	
Emb_529	233/237	255/247	
Emb_530	217/201	255/259	
Emb_531	217/237	255/247	
Emb_532	217/201	255/247	
Emb_533	217/197	255/251	
Emb_534	233/213	255/247	
Emb_535	233/213	255/259	
Emb_536	217/237	255/259	
Emb_537	233/237	255/259	
Emb_538	233/201	255/259	
Emb_539	233/888	255/259	
Emb_540	233/213	255/247	
Emb_541	217/213	255/247	
Emb_542	217/201	255/247	
Emb_543	217/237	255/247	
Emb_544	233/213	255/247	
Emb_545	217/201	255/247	
Emb_546	217/201	255/247	
Emb_547	233/888	255/247	
Emb_548	233/197	255/251	
Emb_549	217/197	255/251	
Emb_550	233/197	255/259	
Emb_551	217/888	255/247	
Emb_552	217/213	255/259	
Emb_553	233/197	255/251	
Emb_554	233/888	255/259	
Emb_555	217/888	255/259	
Emb_556	217/213	255/259	
Emb_557	233/197	255/259	
Emb_558	233/213	255/259	
Emb_559	217/213	255/247	
Emb_560	217/197	255/259	
Emb_561	233/197	255/259	
Emb_562	233/213	255/251	
Emb_563	217/201	255/247	
Emb_564	217/213	255/259	
Emb_565	217/213	255/251	
Emb_566	217/237	255/247	
Emb_567	217/888	255/247	
Emb_568	217/888	255/259	
Emb_569	233/213	255/259	
Emb_570	233/201	255/247	
Emb_571	217/213	255/247	
Emb_572	217/213	255/259	
Emb_573	217/213	255/259	
Emb_574	217/237	255/259	
Emb_575	233/888	255/247	
Emb_576	217/237	255/247	
Emb_577	217/237	255/259	
Emb_578	217/213	255/247	
Emb_579	217/237	255/259	
Emb_580	217/888	255/247	
Emb_581	217/888	255/259	
Emb_582	233/197	255/251	
Emb_583	217/888	255/259	
Emb_584	217/237	255/259	
Emb_585	217/888	255/247	
Emb_586	217/237	255/247	
Emb_587	233/237	255/259	
Emb_588	217/888	255/247	
Emb_589	233/237	255/259	
Emb_590	217/237	255/259	
Emb_591	233/213	255/259	
Emb_592	233/888	255/259	
Emb_593	217/197	255/251	
Emb_594	233/213	255/247	
Emb_595	217/888	255/259	
Emb_596	217/237	255/259	
Emb_597	217/213	255/259	
Emb_598	233/197	255/251	
Emb_599	217/197	255/251	
Emb_600	217/888	255/259	
Emb_601	217/213	255/251	
Emb_602	233/201	255/247	
Emb_603	233/237	255/247	
Emb_604	233/888	255/259	
Emb_605	217/197	255/251	
Emb_606	217/888	255/259	
Emb_607	233/213	255/259	
Emb_608	233/888	255/247	
Emb_609	217/201	255/247	
Emb_610	217/237	255/247	
Emb_611	217/213	255/247	
Emb_612	233/213	255/259	
Emb_613	233/213	255/251	
Emb_614	233/237	255/259	
Emb_615	233/237	255/247	
Emb_616	217/213	255/259	
Emb_617	233/201	255/259	
Emb_618	217/237	255/247	
Emb_619	217/213	255/247	
Emb_620	217/213	255/259	
Emb_621	217/213	255/259	
Emb_622	233/888	255/247	
Emb_623	233/213	255/259	
Emb_624	217/201	255/259	
Emb_625	217/213	255/259	
Emb_626	233/888	255/259	
Emb_627	233/213	255/251	
Emb_628	217/237	255/247	
Emb_629	217/888	255/259	
Emb_630	217/201	255/247	
Emb_631	233/237	255/259	
Emb_632	233/888	255/259	
Emb_633	217/213	255/259	
Emb_634	233/888	255/247	
Emb_635	217/213	255/247	
Emb_636	217/888	255/259	
Emb_637	217/201	255/259	
Emb_638	233/197	255/251	
Emb_639	217/888	255/247	
Emb_640	217/213	255/259	
Emb_641	217/213	255/259	
Emb_642	233/213	255/259	
Emb_643	217/213	255/247	
Emb_644	233/888	255/259	
Emb_645	233/888	255/259	
Emb_646	217/201	255/259	
Emb_647	217/197	255/251	
Emb_648	233/197	255/259	
Emb_649	217/213	255/251	
Emb_650	233/213	255/251	
Emb_651	217/197	255/259	
Emb_652	233/888	255/247	
Emb_653	233/197	255/251	
Emb_654	233/197	255/251	
Emb_655	233/197	255/251	
Emb_656	233/197	255/251	
Emb_657	233/213	255/251	
Emb_658	217/888	255/259	
Emb_659	233/237	255/259	
Emb_660	217/213	255/259	
Emb_661	217/237	255/259	
Emb_662	233/213	255/259	
Emb_663	233/888	255/259	
Emb_664	233/237	255/247	
Emb_665	233/197	255/251	
Emb_666	233/201	255/259	
Emb_667	217/237	255/247	
Emb_668	233/213	255/251	
Emb_669	217/201	255/247	
Emb_670	217/197	255/251	
Emb_671	233/213	255/259	
Emb_672	217/237	255/247	
Emb_673	233/213	255/259	
Emb_674	233/201	255/247	
Emb_675	217/213	255/259	
Emb_676	233/888	255/247	
Emb_677	233/237	255/259	
Emb_678	233/201	255/259	
Emb_679	217/237	255/247	
Emb_680	217/213	255/251	
Emb_681	233/213	255/247	
Emb_682	217/213	255/251	
Emb_683	233/237	255/259	
Emb_684	233/237	255/247	
Emb_685	217/201	255/259	
Emb_686	217/888	255/259	
Emb_687	217/237	255/259	
Emb_688	217/213	255/259	
Emb_689	233/213	255/247	
Emb_690	217/888	255/259	
Emb_691	233/201	255/259	
Emb_692	217/201	255/259	
Emb_693	217/201	255/247	
Emb_694	217/201	255/259	
Emb_695	233/888	255/259	
Emb_696	233/213	255/251	
Emb_697	233/888	255/247	
Emb_698	233/237	255/259	
Emb_699	233/197	255/259	
Emb_700	233/888	255/247	
Emb_701	217/197	255/251	
Emb_702	233/237	255/259	
Emb_703	217/213	255/247	
Emb_704	233/201	255/259	
Emb_705	233/888	255/247	
Emb_706	233/888	255/247	
Emb_707	233/888	255/247	
Emb_708	233/888	255/247	
Emb_709	217/213	255/259	
Emb_710	233/197	255/251	
Emb_711	217/237	255/247	
Emb_712	233/888	255/259	
Emb_713	233/197	255/259	
Emb_714	217/237	255/247	
Emb_715	217/213	255/247	
Emb_716	217/237	255/247	
Emb_717	217/213	255/251	
Emb_718	233/888	255/247	
Emb_719	217/237	255/259	
Emb_720	217/197	255/259	
Emb_721	217/213	255/259	
Emb_722	233/888	255/259	
Emb_723	217/201	255/259	
Emb_724	233/213	255/259	
Emb_725	233/888	255/247	
Emb_726	217/237	255/259	
Emb_727	233/213	255/259	
Emb_728	233/197	255/259	
Emb_729	233/201	255/247	
Emb_730	217/888	255/259	
Emb_731	217/213	255/259	
Emb_732	217/237	255/247	
Emb_733	217/888	255/259	
Emb_734	217/197	255/251	
Emb_735	217/201	255/247	
Emb_736	233/197	255/259	
Emb_737	217/201	255/247	
Emb_738	233/213	255/259	
Emb_739	217/197	255/251	
Emb_740	217/213	255/247	
Emb_741	217/201	255/247	
Emb_742	233/213	255/259	
Emb_743	233/213	255/259	
Emb_744	233/201	255/247	
Emb_745	233/197	255/259	
Emb_746	217/888	255/259	
Emb_747	233/197	255/259	
Emb_748	217/213	255/259	
Emb_749	233/201	255/259	
Emb_750	233/213	255/259	
Emb_751	233/237	255/259	
Emb_752	233/197	255/259	
Emb_753	217/197	255/259	
Emb_754	217/237	255/247	
Emb_755	217/213	255/259	
Emb_756	233/213	255/251	
Emb_757	217/888	255/259	
Emb_758	217/213	255/251	
Emb_759	233/888	255/247	
Emb_760	217/237	255/247	
Emb_761	217/213	255/259	
Emb_762	233/888	255/247	
Emb_763	233/888	255/259	
Emb_764	217/213	255/251	
Emb_765	217/197	255/251	
Emb_766	233/888	255/259	
Emb_767	233/213	255/247	
Emb_768	233/201	255/247	
Emb_769	233/237	255/259	
Emb_770	233/201	255/247	
Emb_771	233/201	255/247	
Emb_772	233/213	255/259	
Emb_773	233/197	255/251	
Emb_774	217/213	255/259	
Emb_775	233/201	255/259	
Emb_776	217/888	255/259	
Emb_777	233/213	255/247	
Emb_778	233/237	255/247	
Emb_779	233/237	255/259	
Emb_780	233/213	255/259	
Emb_781	217/213	255/259	
Emb_782	233/201	255/247	
Emb_783	233/213	255/259	
Emb_784	217/213	255/251	
Emb_785	217/888	255/259	
Emb_786	217/213	255/259	
Emb_787	217/888	255/259	
Emb_788	217/201	255/259	
Emb_789	217/197	255/251	
Emb_790	233/888	255/259	
Emb_791	217/237	255/247	
Emb_792	217/213	255/259	
Emb_793	217/888	255/247	
Emb_794	217/888	255/247	
Emb_795	233/197	255/259	
Emb_796	217/213	255/259	
Emb_797	233/213	255/259	
Emb_798	217/213	255/247	
Emb_799	233/213	255/251	
Emb_800	233/888	255/247	
Emb_801	233/213	255/247	
Emb_802	217/201	255/259	
Emb_803	217/197	255/259	
Emb_804	233/213	255/247	
Emb_805	217/213	255/251	
Emb_806	217/197	255/251	
Emb_807	233/888	255/259	
Emb_808	233/213	255/259	
Emb_809	217/197	255/251	
Emb_810	233/888	255/259	
Emb_811	233/888	255/259	
Emb_812	233/237	255/259	
Emb_813	217/213	255/247	
Emb_814	217/201	255/259	
Emb_815	233/237	255/247	
Emb_816	233/201	255/247	
Emb_817	233/888	255/259	
Emb_818	233/213	255/259	
Emb_819	217/197	255/251	
Emb_820	217/237	255/247	
Emb_821	217/888	255/247	
Emb_822	233/213	255/247	
Emb_823	217/888	255/247	
Emb_824	217/888	255/259	
Emb_825	217/201	255/259	
Emb_826	217/213	255/259	
Emb_827	217/213	255/259	
Emb_828	233/237	255/247	
Emb_829	217/201	255/247	
Emb_830	233/201	255/259	
Emb_831	233/213	255/259	
Emb_832	217/213	255/251	
Emb_833	217/213	255/247	
Emb_834	217/237	255/259	
Emb_835	217/213	255/247	
Emb_836	233/197	255/251	
Emb_837	233/201	255/259	
Emb_838	217/197	255/251	
Emb_839	217/197	255/251	
Emb_840	217/201	255/247	
Emb_841	233/201	255/247	
Emb_842	217/201	255/247	
Emb_843	217/237	255/259	
Emb_844	217/201	255/247	
Emb_845	217/213	255/259	
Emb_846	233/213	255/251	
Emb_847	217/237	255/247	
Emb_848	233/237	255/259	
Emb_849	217/237	255/259	
Emb_850	217/197	255/259	
Emb_851	233/213	255/247	
Emb_852	233/213	255/259	
Emb_853	233/213	255/259	
Emb_854	233/197	255/259	
Emb_855	217/888	255/259	
Emb_856	233/213	255/259	
Emb_857	217/197	255/251	
Emb_858	233/213	255/251	
Emb_859	217/197	255/259	
Emb_860	217/213	255/259	
Emb_861	217/213	255/259	
Emb_862	217/201	255/247	
Emb_863	217/213	255/259	
Emb_864	233/237	255/259	
Emb_865	233/237	255/259	
Emb_866	217/237	255/247	
Emb_867	217/201	255/259	
Emb_868	217/197	255/259	
Emb_869	233/888	255/247	
Emb_870	233/213	255/259	
Emb_871	217/197	255/259	
Emb_872	217/213	255/259	
Emb_873	217/201	255/247	
Emb_874	217/237	255/247	
Emb_875	233/197	255/251	
Emb_876	217/213	255/259	
Emb_877	217/197	255/259	
Emb_878	217/201	255/247	
Emb_879	217/197	255/259	
Emb_880	233/888	255/259	
Emb_881	233/213	255/259	
Emb_882	233/237	255/247	
Emb_883	217/201	255/259	
Emb_884	233/213	255/247	
Emb_885	217/237	255/247	
Emb_886	217/888	255/247	
Emb_887	217/201	255/259	
Emb_888	233/213	255/259	
Emb_889	233/888	255/247	
Emb_890	233/213	255/259	
Emb_891	233/201	255/259	
Emb_892	217/237	255/259	
Emb_893	233/201	255/247	
Emb_894	217/197	255/259	
Emb_895	217/213	255/259	
Emb_896	233/197	255/251	
Emb_897	217/213	255/251	
Emb_898	233/197	255/251	
Emb_899	217/197	255/251	
Emb_900	217/237	255/247	
Emb_901	217/197	255/251	
Emb_902	233/237	255/247	
Emb_903	233/213	255/247	
Emb_904	233/197	255/259	
Emb_905	233/201	255/247	
Emb_906	217/197	255/251	
Emb_907	233/237	255/259	
Emb_908	217/888	255/247	
Emb_909	233/213	255/251	
Emb_910	217/213	255/247	
Emb_911	233/213	255/259	
Emb_912	233/213	255/251	
Emb_913	217/197	255/259	
Emb_914	217/201	255/259	
Emb_915	233/237	255/259	
Emb_916	217/213	255/259	
Emb_917	217/213	255/259	
Emb_918	233/213	255/259	
Emb_919	233/888	255/259	
Emb_920	217/237	255/247	
Emb_921	233/237	255/247	
Emb_922	233/201	255/247	
Emb_923	217/213	255/251	
Emb_924	233/213	255/259	
Emb_925	217/237	255/247	
Emb_926	233/201	255/247	
Emb_927	217/888	255/259	
Emb_928	233/201	255/247	
